Product_Name,MicroCenter_SKU,BestBuy_SKU,GameStop_SKU,Adorama_SKU
MSI AMD Radeon RX 6600 XT Gaming X 8GB GDDR6 PCIe 4.0 Graphics Card,308312.0,6476227,,
MSI NVIDIA GeForce RTX 3060 Ti Gaming X  8GB GDDR6 PCIe 4.0 Graphics Card,303883.0,6480291,242883.0,
Gigabyte NVIDIA GeForce RTX 3080 Ti Gaming OC 12GB GDDR6 PCIe 4.0 Graphics Card,284331.0,6466561,,
Gigabyte NVIDIA GeForce RTX 3070 Ti Gaming OC 8GB GDDR6X PCIe 4.0 Graphics Card,287243.0,6467779,,
EVGA NVIDIA GeForce RTX 3080 Ti FTW3 Ultra Gaming 12GB GDDR6X PCIe 4.0 Graphics Card,283739.0,6467808,309408.0,EV12G53967KR
MSI NVIDIA GeForce RTX 3070 Gaming Z Trio  8GB GDDR6 PCIe 4.0 Graphics Card,301291.0,6471285,,
EVGA NVIDIA GeForce RTX 3060 XC Gaming 12GB GDDR6 PCIe 4.0 Graphics Card,240093.0,6454329,309405.0,EV12GP5357KR
MSI NVIDIA GeForce RTX 3080 Gaming Z Trio  10GB GDDR6X PCIe 4.0 Graphics Card,298505.0,6480289,242877.0,
MSI NVIDIA GeForce RTX 3060 Ventus 2x OC 12GB GDDR6 PCIe 4.0 Graphics Card,234849.0,6462173,,
EVGA NVIDIA GeForce RTX 3070 FTW3 Ultra Gaming 8GB GDDR6 PCIe 4.0 Graphics Card,291567.0,6477077,309403.0,EV8GP53767KL
MSI NVIDIA GeForce RTX 3070 Ti Gaming X Trio 8GB GDDR6X PCIe 4.0 Graphics Card,287011.0,6467497,,MSIG307TGXT8
Gigabyte GeForce RTX 3090 Gaming OC 24GB GDDR6X PCIe 4.0 Graphics Card,174151.0,6430623,,
Gigabyte NVIDIA GeForce RTX 3070 AORUS Master OC 8GB GDDR6 PCIe 4.0 Graphics Card,303826.0,6479685,,
MSI NVIDIA GeForce RTX 3060 Ventus 3X OC 12GB GDDR6 PCIe 4.0 Graphics Card,234856.0,6452940,,
Gigabyte AMD Radeon RX 6800 XT Gaming OC 16GB GDDR6 PCIe 4.0 Graphics Card,213710.0,6453897,,
Gigabyte NVIDIA GeForce RTX 3080 Ti AORUS XTREME OC 12GB GDDR6X PCIe 4.0 Graphics Card,299099.0,6468933,,
Gigabyte NVIDIA GeForce RTX 3060 Ti Gaming Pro LHC OC 8GB GDDR6 PCIe 4.0 Graphics Card,298141.0,6479688,,
Gigabyte AMD Radeon RX 6600 XT Gaming Pro OC 8GB GDDR6 PCIe 4.0 Graphics Card,311910.0,6475148,,
EVGA NVIDIA GeForce RTX 3060 Ti FTW3 Ultra Gaming  8GB GDDR6 PCIe 4.0 Graphics Card,297275.0,6479524,252772.0,EV8GP53667
Gigabyte NVIDIA GeForce GT 1030 Low Profile D4 2GB GDDR4 PCIe 3.0 Graphics Card,283358.0,6468926,,
ASUS NVIDIA GeForce RTX 3060 ROG Strix V2 OC 12GB GDDR6 PCIe 4.0 Graphics Card,295022.0,6475224,294751.0,AS9YVGC2M0AA
Gigabyte AMD Radeon RX 6700 XT Eagle 12GB GDDR6 PCIe 4.0 Graphics Card,255380.0,6457994,,
Gigabyte AMD Radeon RX 6600 XT Eagle OC 8GB GDDR6 PCIe 4.0 Graphics Card,311902.0,6475154,,
MSI NVIDIA GeForce RTX 3070 Ti Ventus 3X OC 8GB GDDR6X PCIe 4.0 Graphics Card,287029.0,6467500,,MSIG37TV3X8C
MSI GeForce RTX 3090 Ventus 3X OC 24GB GDDR6X PCIe 4.0 Graphics Card,172999.0,6472646,,
ASUS NVIDIA GeForce RTX 3060 Ti TUF Gaming V2 OC 8GB GDDR6 PCIe 4.0 Graphics Card,295030.0,6475223,284701.0,
Gigabyte NVIDIA GeForce RTX 3060 Gaming Rev 2 OC 12GB GDDR6 PCIe 4.0 Graphics Card,287714.0,6468910,,
Gigabyte AMD Radeon RX 6700 XT Gaming OC 12GB GDDR6 PCIe 4.0 Graphics Card,255364.0,6457993,,
Gigabyte NVIDIA GeForce RTX 3090 VISION OC 24GB GDDR6X PCIe 4.0 Graphics Card,210864.0,6445108,,
